City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puquio,-14.7,-74.1333,10.19,86,94,2.14,PE,1683342010
1,beau vallon,-20.4189,57.6953,25.13,88,75,2.57,MU,1683341683
2,gannan,47.9147,123.5031,17.27,16,7,3.56,CN,1683342011
3,blackmans bay,-43.0167,147.3167,10.85,60,37,2.05,AU,1683342013
4,puerto natales,-51.7236,-72.4875,10.99,91,100,3.09,CL,1683342013
5,joao pinheiro,-17.7425,-46.1725,19.59,58,25,2.03,BR,1683342014
6,illizi,26.4833,8.4667,22.89,15,5,3.93,DZ,1683342014
7,mount gambier,-37.8333,140.7667,11.31,56,66,2.87,AU,1683342015
8,happy valley-goose bay,53.3168,-60.3315,2.17,60,75,2.57,CA,1683341758
9,adamstown,-25.066,-130.1015,23.24,72,100,7.98,PN,1683342015
10,morehead city,34.7229,-76.726,19.44,80,0,1.34,US,1683342015
11,kibaya,-5.3,36.5667,14.38,90,85,1.86,TZ,1683342016
12,port-aux-francais,-49.35,70.2167,5.55,68,100,11.65,TF,1683342016
13,yellowknife,62.456,-114.3525,13.29,50,75,6.69,CA,1683342017
14,newman,37.3138,-121.0208,16.83,78,100,0.45,US,1683342017
15,jamestown,42.097,-79.2353,9.8,81,0,3.09,US,1683342017
16,magadi,12.9667,77.2333,23.23,73,100,2.3,IN,1683342018
17,kalach-na-donu,48.691,43.5264,14.88,76,11,1.85,RU,1683342018
18,waitangi,-43.9535,-176.5597,16.57,88,100,3.58,NZ,1683342018
19,la'ie,21.6477,-157.9253,27.98,76,3,2.68,US,1683341723
20,bredasdorp,-34.5322,20.0403,12.81,91,100,2.42,ZA,1683342019
21,constantia,44.1833,28.65,12.61,78,10,4.82,RO,1683342006
22,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,61,75,3.0,RU,1683342019
23,praia,14.9215,-23.5087,22.3,78,20,8.23,CV,1683342020
24,katsuura,35.1333,140.3,24.25,59,47,11.43,JP,1683342020
25,grytviken,-54.2811,-36.5092,1.72,94,97,5.19,GS,1683342020
26,ha'il,27.5219,41.6907,19.01,32,0,2.06,SA,1683341948
27,conde,-7.2597,-34.9075,25.7,94,20,2.06,BR,1683342021
28,lysekil,58.2743,11.4358,1.73,64,4,4.8,SE,1683342021
29,bilibino,68.0546,166.4372,-2.62,82,99,1.51,RU,1683342021
30,margaret river,-33.95,115.0667,16.3,56,84,9.46,AU,1683342022
31,tommot,58.9564,126.2925,8.11,72,92,5.15,RU,1683342022
32,tiksi,71.6872,128.8694,-10.13,81,80,7.26,RU,1683342023
33,sola,-13.8833,167.55,27.68,76,31,4.54,VU,1683342024
34,manokwari,-0.8667,134.0833,26.84,83,100,4.07,ID,1683342026
35,sassandra,4.95,-6.0833,24.17,98,14,0.98,CI,1683342027
36,tazovsky,67.4667,78.7,-2.06,94,92,5.09,RU,1683342027
37,geraldton,-28.7667,114.6,22.23,64,0,10.8,AU,1683342027
38,port alfred,-33.5906,26.891,14.54,96,34,2.36,ZA,1683342028
39,san lawrenz,36.0553,14.204,16.59,90,2,3.99,MT,1683342028
40,saint-pierre,-21.3393,55.4781,22.82,78,20,2.06,RE,1683341738
41,puerto ayora,-0.7393,-90.3518,26.97,94,23,3.13,EC,1683342030
42,rongelap,11.1635,166.8941,27.55,76,12,7.07,MH,1683342030
43,longyearbyen,78.2186,15.6401,-1.09,74,75,7.2,SJ,1683342032
44,broken hill,-31.95,141.4333,12.89,67,94,5.71,AU,1683342032
45,ust-nera,64.5667,143.2,0.72,56,55,3.93,RU,1683342033
46,yuzhno-kurilsk,44.0306,145.8556,2.06,99,100,7.84,RU,1683342034
47,edinburgh of the seven seas,-37.0676,-12.3116,16.22,90,100,12.56,SH,1683342035
48,codrington,-38.2667,141.9667,11.23,61,70,4.69,AU,1683342035
49,ribeira grande,38.5167,-28.7,17.65,96,98,4.92,PT,1683342035
50,kudahuvadhoo,2.6708,72.8944,28.89,75,100,8.39,MV,1683342036
51,holualoa,19.6228,-155.9522,24.2,78,69,1.79,US,1683342036
52,yamada,39.4667,141.95,17.93,88,100,2.68,JP,1683342036
53,papao,-17.75,-149.55,29.82,78,100,8.81,PF,1683342037
